GUID,GEOGID,GEOGDESC,Reference Geography,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation),Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Age 0 - Males,Age 1 - Males,Age 2 - Males,Age 3 - Males,Age 4 - Males,Age 5 - Males,Age 6 - Males,Age 7 - Males,Age 8 - Males,Age 9 - Males,Age 10 - Males,Age 11 - Males,Age 12 - Males,Age 13 - Males,Age 14 - Males,Age 15 - Males,Age 16 - Males,Age 17 - Males,Age 18 - Males,Age 19 - Males,Age 20 - 24 - Males,Age 25 - 29 - Males,Age 30 - 34 - Males,Age 35 - 39 - Males,Age 40 - 44 - Males,Age 45 - 49 - Males,Age 50 - 54 - Males,Age 55 - 59 - Males,Age 60 - 64 - Males,Age 65 - 69 - Males,Age 70 - 74 - Males,Age 75 - 79 - Males,Age 80 - 84 - Males,Age 85 and over - Males,Total - Males,Age 0 - Females,Age 1 - Females,Age 2 - Females,Age 3 - Females,Age 4 - Females,Age 5 - Females,Age 6 - Females,Age 7 - Females,Age 8 - Females,Age 9 - Females,Age 10 - Females,Age 11 - Females,Age 12 - Females,Age 13 - Females,Age 14 - Females,Age 15 - Females,Age 16 - Females,Age 17 - Females,Age 18 - Females,Age 19 - Females,Age 20 - 24 - Females,Age 25 - 29 - Females,Age 30 - 34 - Females,Age 35 - 39 - Females,Age 40 - 44 - Females,Age 45 - 49 - Females,Age 50 - 54 - Females,Age 55 - 59 - Females,Age 60 - 64 - Females,Age 65 - 69 - Females,Age 70 - 74 - Females,Age 75 - 79 - Females,Age 80 - 84 - Females,Age 85 and over - Females,Total - Females,Age 0 - Total,Age 1 - Total,Age 2 - Total,Age 3 - Total,Age 4 - Total,Age 5 - Total,Age 6 - Total,Age 7 - Total,Age 8 - Total,Age 9 - Total,Age 10 - Total,Age 11 - Total,Age 12 - Total,Age 13 - Total,Age 14 - Total,Age 15 - Total,Age 16 - Total,Age 17 - Total,Age 18 - Total,Age 19 - Total,Age 20 - 24 - Total,Age 25 - 29 - Total,Age 30 - 34 - Total,Age 35 - 39 - Total,Age 40 - 44 - Total,Age 45 - 49 - Total,Age 50 - 54 - Total,Age 55 - 59 - Total,Age 60 - 64 - Total,Age 65 - 69 - Total,Age 70 - 74 - Total,Age 75 - 79 - Total,Age 80 - 84 - Total,Age 85 and over - Total,Total,ObjectId
2ae19629-1498-13a3-e055-000000000001,SO,SO,ADMINISTRATIVE_COUNTIES_2019,2ae19629-1498-13a3-e055-000000000001,SLIGO COUNTY COUNCIL,SO,SLIGO,Sligeach,Connacht,IE041,Border,IE04,Northern and Western,IE0,Ireland,35669,34529,70198,27146,578,2033,3954,33711,1837,Sq KM,1836802124.37463,482579.886390199,2ae19629-1498-13a3-e055-000000000001,376,383,404,420,412,427,423,508,481,512,553,497,521,480,525,512,461,481,435,419,2025,1649,1720,2268,2529,2383,2307,2201,2110,1892,1722,1214,720,559,34529,367,383,360,405,408,392,401,426,461,448,465,459,506,503,467,442,455,452,462,503,2014,1643,1924,2484,2664,2541,2278,2316,2244,2037,1698,1351,832,878,35669,743,766,764,825,820,819,824,934,942,960,1018,956,1027,983,992,954,916,933,897,922,4039,3292,3644,4752,5193,4924,4585,4517,4354,3929,3420,2565,1552,1437,70198,11
2ae19629-148d-13a3-e055-000000000001,LS,LS,ADMINISTRATIVE_COUNTIES_2019,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,45599,46278,91877,31196,475,196,2576,34443,1719,Sq KM,1719127016.89493,271474.67442026,2ae19629-148d-13a3-e055-000000000001,555,517,605,648,643,641,698,713,723,780,793,824,818,788,790,747,680,703,665,593,2562,2267,2624,3506,3798,3396,3226,2711,2412,2013,1605,1157,643,434,46278,545,491,564,571,577,607,630,696,723,655,769,729,807,745,763,727,633,718,634,537,2370,2145,2773,3811,3954,3428,2982,2626,2263,1946,1529,1246,727,678,45599,1100,1008,1169,1219,1220,1248,1328,1409,1446,1435,1562,1553,1625,1533,1553,1474,1313,1421,1299,1130,4932,4412,5397,7317,7752,6824,6208,5337,4675,3959,3134,2403,1370,1112,91877,12
2ae19629-149b-13a3-e055-000000000001,WH,WH,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149b-13a3-e055-000000000001,WESTMEATH COUNTY COUNCIL,WH,WESTMEATH,An Iarmhí,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,48500,47721,96221,34133,628,333,3095,38189,1838,Sq KM,1838317384.04819,286856.670286595,2ae19629-149b-13a3-e055-000000000001,594,556,576,590,599,659,684,654,700,748,715,770,752,743,733,703,713,685,641,585,2820,2575,2844,3522,3612,3397,3229,2878,2597,2277,1832,1320,792,626,47721,535,602,532,558,609,617,668,677,712,706,690,714,714,683,689,659,635,643,623,532,2614,2600,3068,3781,3848,3472,3224,3002,2571,2311,1838,1495,934,944,48500,1129,1158,1108,1148,1208,1276,1352,1331,1412,1454,1405,1484,1466,1426,1422,1362,1348,1328,1264,1117,5434,5175,5912,7303,7460,6869,6453,5880,5168,4588,3670,2815,1726,1570,96221,13
2ae19629-149f-13a3-e055-000000000001,DR,DR,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149f-13a3-e055-000000000001,DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,DR,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,121828,112032,233860,85590,2372,444,4851,93257,127,Sq KM,126573784.53418,66998.0332306299,2ae19629-149f-13a3-e055-000000000001,1269,1245,1251,1304,1380,1442,1485,1505,1517,1454,1586,1536,1561,1544,1453,1392,1381,1374,1427,1577,7696,7383,7467,7871,8574,7615,6996,6441,5833,4980,4242,3605,2554,2092,112032,1188,1192,1238,1309,1278,1426,1394,1469,1468,1550,1449,1484,1430,1432,1464,1383,1352,1398,1511,1659,8324,7547,7942,8598,9224,8069,7635,7468,6502,5762,5103,4537,3458,3585,121828,2457,2437,2489,2613,2658,2868,2879,2974,2985,3004,3035,3020,2991,2976,2917,2775,2733,2772,2938,3236,16020,14930,15409,16469,17798,15684,14631,13909,12335,10742,9345,8142,6012,5677,233860,14
2ae19629-14a2-13a3-e055-000000000001,CE,CE,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a2-13a3-e055-000000000001,CLARE COUNTY COUNCIL,CE,CLARE,An Clár,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,65021,62917,127938,46784,881,4921,5079,57665,3449,Sq KM,3448695594.36475,494504.696619372,2ae19629-14a2-13a3-e055-000000000001,686,656,729,723,739,821,867,858,869,933,914,908,984,960,954,981,903,954,860,829,3539,2991,3204,3974,4578,4619,4504,4157,3787,3320,2887,2157,1214,858,62917,691,704,744,745,766,799,789,805,801,873,960,913,999,914,894,907,947,890,830,821,3419,3001,3459,4438,5092,4847,4710,4297,3745,3307,2964,2257,1359,1334,65021,1377,1360,1473,1468,1505,1620,1656,1663,1670,1806,1874,1821,1983,1874,1848,1888,1850,1844,1690,1650,6958,5992,6663,8412,9670,9466,9214,8454,7532,6627,5851,4414,2573,2192,127938,15
2ae19629-149c-13a3-e055-000000000001,WX,WX,ADMINISTRATIVE_COUNTIES_2019,2ae19629-149c-13a3-e055-000000000001,WEXFORD COUNTY COUNCIL,WX,WEXFORD,Loch Garman,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,83142,80777,163919,59367,1014,5958,5140,71479,2370,Sq KM,2370004951.43723,404450.744629235,2ae19629-149c-13a3-e055-000000000001,910,846,914,961,1020,1022,1107,1164,1188,1235,1266,1220,1215,1338,1213,1191,1197,1204,1142,941,4302,3839,4510,5142,6000,5772,5711,5201,4755,4218,3612,2684,1664,1073,80777,882,878,921,903,921,1000,1058,1069,1104,1119,1107,1190,1228,1283,1200,1170,1108,1062,1084,872,4127,4026,4897,5918,6601,6009,5753,5569,4931,4199,3604,2842,1806,1701,83142,1792,1724,1835,1864,1941,2022,2165,2233,2292,2354,2373,2410,2443,2621,2413,2361,2305,2266,2226,1813,8429,7865,9407,11060,12601,11781,11464,10770,9686,8417,7216,5526,3470,2774,163919,16
2ae19629-1435-13a3-e055-000000000001,GC,GC,ADMINISTRATIVE_COUNTIES_2019,2ae19629-1435-13a3-e055-000000000001,GALWAY CITY COUNCIL,GC,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,44000,40414,84414,31221,763,714,2738,35436,51,Sq KM,50710539.338501,60735.8435967441,2ae19629-1435-13a3-e055-000000000001,405,362,406,410,412,437,449,460,443,477,450,491,443,511,456,444,419,438,512,758,4350,3730,3296,3153,3356,2702,2275,1972,1718,1515,1219,951,560,434,40414,387,395,386,389,418,412,406,433,480,465,438,480,438,468,425,433,443,416,521,1006,5171,3804,3478,3485,3311,2920,2389,2195,1963,1773,1454,1207,858,753,44000,792,757,792,799,830,849,855,893,923,942,888,971,881,979,881,877,862,854,1033,1764,9521,7534,6774,6638,6667,5622,4664,4167,3681,3288,2673,2158,1418,1187,84414,17
2ae19629-14a0-13a3-e055-000000000001,FL,FL,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a0-13a3-e055-000000000001,FINGAL COUNTY COUNCIL,FL,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,167974,162532,330506,107920,2113,441,4884,115358,458,Sq KM,458378244.766113,228852.370745165,2ae19629-14a0-13a3-e055-000000000001,2059,1987,2196,2223,2275,2387,2502,2577,2752,2775,2938,2807,3013,2830,2714,2528,2293,2371,2221,2167,9766,9077,10382,12795,14740,13360,10734,8365,6871,5616,4685,3448,1897,1181,162532,1950,1907,2112,2161,2147,2252,2361,2476,2608,2625,2736,2660,2779,2655,2584,2420,2238,2195,2252,2191,9331,9166,11546,14415,15653,13683,10883,8807,7464,6252,5275,3969,2230,1991,167974,4009,3894,4308,4384,4422,4639,4863,5053,5360,5400,5674,5467,5792,5485,5298,4948,4531,4566,4473,4358,19097,18243,21928,27210,30393,27043,21617,17172,14335,11868,9960,7417,4127,3172,330506,18
2ae19629-1490-13a3-e055-000000000001,LD,LD,ADMINISTRATIVE_COUNTIES_2019,2ae19629-1490-13a3-e055-000000000001,LONGFORD COUNTY COUNCIL,LD,LONGFORD,An Longfort,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,23302,23449,46751,16270,209,378,2338,19195,1091,Sq KM,1091145997.98608,211044.387345492,2ae19629-1490-13a3-e055-000000000001,257,244,301,283,276,347,337,331,348,390,367,391,381,385,372,384,340,331,337,287,1353,1119,1314,1572,1908,1726,1567,1405,1240,1115,1030,721,398,292,23449,270,238,243,300,283,299,287,345,313,356,361,343,350,378,352,358,327,314,272,276,1175,1174,1435,1775,1914,1692,1538,1338,1220,1120,958,774,435,489,23302,527,482,544,583,559,646,624,676,661,746,728,734,731,763,724,742,667,645,609,563,2528,2293,2749,3347,3822,3418,3105,2743,2460,2235,1988,1495,833,781,46751,19
2ae19629-14a5-13a3-e055-000000000001,GY,GY,ADMINISTRATIVE_COUNTIES_2019,2ae19629-14a5-13a3-e055-000000000001,GALWAY COUNTY COUNCIL,GY,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,96803,96520,193323,68194,1054,4286,8803,82337,6098,Sq KM,6098023611.75046,1730625.94896394,2ae19629-14a5-13a3-e055-000000000001,1176,1135,1188,1247,1354,1326,1359,1368,1507,1545,1556,1491,1530,1568,1538,1381,1519,1457,1332,1212,4822,3947,4730,6248,7506,7265,6787,6140,5552,5024,4241,3071,1997,1401,96520,1073,1082,1161,1191,1189,1286,1361,1291,1408,1345,1418,1487,1413,1471,1506,1394,1444,1329,1214,1039,4233,3893,5286,6966,7982,7542,6812,6056,5503,4929,4166,3062,2043,2228,96803,2249,2217,2349,2438,2543,2612,2720,2659,2915,2890,2974,2978,2943,3039,3044,2775,2963,2786,2546,2251,9055,7840,10016,13214,15488,14807,13599,12196,11055,9953,8407,6133,4040,3629,193323,20
